0.604608;0.407145;-13.509377;0.603052;0.408337;-13.514478;758;1;
0.652507;0.321122;-11.284016;0.652988;0.320592;-11.284520;615;1;
0.997579;0.000489;-13.202872;1.000000;0.000000;-13.209686;129;1;
0.065006;0.583102;-11.538893;0.066182;0.582587;-11.541191;765;1;
0.905690;0.873431;-9.967286;0.904308;0.872639;-9.969291;896;1;
0.346538;0.526405;-9.173274;0.344375;0.524932;-9.180170;173;1;
0.001466;0.998556;-9.354366;0.000000;1.000000;-9.359563;1528;1;
0.948702;0.885162;-11.466326;0.948275;0.887031;-11.470027;542;1;
0.228255;0.519562;-11.409203;0.226047;0.520153;-11.414708;463;1;
0.341650;0.196974;-12.357342;0.341732;0.197620;-12.357895;309;1;
0.070872;0.431583;-8.296259;0.069264;0.430955;-8.298192;180;1;
0.003421;0.997579;-10.771427;0.000000;1.000000;-10.778930;310;1;
0.451134;0.073804;-9.636880;0.452210;0.072920;-9.639990;1094;1;
0.582125;0.045456;-10.842784;0.579769;0.046396;-10.846911;626;1;
0.000489;1.000511;-9.998591;0.000000;1.000000;-9.998779;925;1;
0.313301;1.000511;-13.276936;0.310179;1.000000;-13.277557;403;1;
0.912533;0.926218;-11.197491;0.909758;0.926195;-11.205791;535;1;
0.436471;0.827487;-8.549310;0.434562;0.825608;-8.555742;983;1;
0.066961;0.770790;-11.080400;0.066860;0.770510;-11.080536;1087;1;
0.641754;0.133434;-10.838514;0.641337;0.135186;-10.841575;347;1;
0.887117;0.388572;-10.091833;0.885029;0.390289;-10.099151;493;1;
0.652507;0.413010;-8.815352;0.649650;0.414282;-8.821706;692;1;
0.141254;0.158850;-11.201077;0.142623;0.157327;-11.204370;794;1;
0.863656;1.000511;-9.783114;0.862953;1.000000;-9.776697;2499;1;
0.462865;0.990736;-9.437182;0.460360;0.993140;-9.446354;350;1;
0.380751;0.686721;-9.919547;0.379189;0.688051;-9.922246;462;1;
0.847038;0.426696;-9.349061;0.845292;0.424546;-9.353058;1020;1;
0.440381;0.017107;-8.927327;0.441160;0.016803;-8.927869;817;1;
